interaction_id,lead_id,session_id,visitor_id,timestamp,page_name,page_category,page_url,page_depth,event_type,event_name,event_value,button_name,button_location,cta_type,form_name,form_step,form_completed,session_duration_seconds,time_on_page_seconds,scroll_depth_percent,click_count,mouse_activity_score,device_type,browser,operating_system,screen_size,traffic_source,utm_source,utm_medium,utm_campaign,referrer_type,session_number,is_return_visitor,previous_session_gap_days,funnel_stage
INT-012115,LEAD-01762,S-62C4370B9EC2,V-ADC14F701D,2026-04-14 06:49:31,Testimonials,social_proof,/testimonials,4,track,page_view,0.03,Get Started,navbar,,,,False,910.0,296,29,2,0.71,Desktop,Chrome,macOS Sonoma,2560x1440,email_campaign,newsletter,email,retargeting,search,1,False,,Awareness
INT-053338,LEAD-00151,S-F1482BA1A33F,V-296B28B370,2026-03-24 13:12:02,Integrations,product,/integrations,3,track,page_view,0.02,Book a Call,sidebar,,,,False,528.0,272,11,9,0.6,Mobile,Firefox,iOS 16,375x667,google,google,cpc,product_launch,email,5,True,3.0,Decision
INT-012595,LEAD-01859,S-06AAF0CB93FD,V-945D7ED450,2026-05-24 08:05:35,Case Studies,social_proof,/case-studies,4,track,page_view,0.01,,,secondary,,,False,232.0,136,18,11,0.78,Mobile,Opera,iOS 17,414x896,email_campaign,newsletter,email,startup_apr,referral,7,True,27.0,Evaluation
INT-063062,LEAD-00481,S-37F58F451B18,V-F3035E2172,2026-01-12 03:28:31,Case Studies,social_proof,/case-studies,4,track,case_study_view,0.45,,,,,,False,932.0,168,90,2,0.37,Tablet,,Android 14,820x1180,google,google,cpc,bfsi_jan,social,2,True,1.0,Awareness
INT-040789,LEAD-00060,S-E34C9CD44944,V-E16BA0F6C9,2026-05-16 05:26:07,Pricing,pricing,/pricing,5,track,pricing_page_view,0.52,View Pricing,,banner,,,False,589.0,269,95,3,0.7,Mobile,Chrome,iOS 16,360x780,google,google,cpc,startup_apr,social,11,True,2.0,Decision
INT-046985,LEAD-00564,S-745B3B104182,V-FFD89E8AE6,2026-03-13 12:54:43,Pricing,pricing,/pricing,5,track,pricing_page_view,0.85,,sidebar,primary,,,False,651.0,228,55,12,0.89,Desktop,Firefox,Windows 11,2560x1440,direct,linkedin,,retargeting,email,9,True,6.0,Evaluation
INT-020729,LEAD-01142,S-A5EA9AA77624,V-A5DA309E23,2026-04-14 04:52:48,About,about,/about,2,track,page_view,0.03,,footer,secondary,,,False,1645.0,251,59,4,0.79,Mobile,Chrome,Android 14,390x844,facebook,facebook,social,bfsi_jan,social,6,True,1.0,Consideration
INT-070811,LEAD-00058,S-14619F5E6F4E,V-DC3CAB079C,2026-03-10 04:58:33,Pricing,pricing,/pricing,5,track,page_view,0.09,,inline,banner,,,False,715.0,16,79,2,0.33,Tablet,Chrome,Windows 11,820x1180,google,google,,startup_apr,social,4,True,2.0,Consideration
INT-006699,LEAD-01651,S-B53805EA6860,V-AEE587D1AF,2026-05-25 14:47:23,Contact,conversion,/contact,5,track,page_view,0.04,Contact Sales,,inline,contact_form,1.0,False,683.0,293,36,10,0.48,Mobile,Chrome,Android 13,414x896,referral,partner,referral,healthcare_mar,referral,11,True,0.0,Awareness
INT-071458,LEAD-01187,S-623ED6A73A99,V-A23FA45830,2026-05-18 23:30:59,Integrations,product,/integrations,3,track,page_view,0.03,Get Started,inline,,,,False,1259.0,210,89,2,0.9,Mobile,Chrome,iOS 17,390x844,facebook,facebook,social,retargeting,referral,6,True,2.0,Evaluation
INT-037269,LEAD-01809,S-A74DCE6FB542,V-107F01C67C,2026-01-29 11:14:02,Case Studies,social_proof,/case-studies,4,track,page_view,0.03,Try Free,sidebar,banner,,,False,602.0,224,50,6,0.76,Mobile,Safari,iOS 16,360x780,email_campaign,newsletter,email,brand_awareness,,2,True,10.0,Awareness
INT-028584,LEAD-00860,S-0E82E78753AE,V-93607F25A0,2026-05-10 08:59:16,Resources,resources,/resources,2,track,resource_view,0.12,Download PDF,,primary,,,False,82.0,28,17,1,0.99,Desktop,Edge,Windows 10,1440x900,linkedin,linkedin,social,enterprise_q1,social,2,True,26.0,Awareness
INT-001575,LEAD-00588,S-B1CABCF199D7,V-1E189E23E8,2026-04-19 08:24:24,Home,home,/,1,track,page_view,0.08,Book a Call,inline,inline,,,False,4.0,2,12,2,0.31,Mobile,Chrome,Android 14,390x844,direct,linkedin,social,startup_apr,social,1,False,,Consideration
INT-068740,LEAD-01938,S-5145A834C32E,V-BDD6A2466D,2026-03-16 02:35:31,Features,product,/features,3,track,page_view,0.03,,inline,inline,,,False,1780.0,290,40,3,0.74,Mobile,Chrome,iOS 17,414x896,direct,google,,,direct,2,True,2.0,Awareness
INT-015813,LEAD-01315,S-E62E264353D5,V-84E9121C70,2026-02-25 15:25:12,Resources,resources,/resources,2,track,resource_view,0.08,Download PDF,inline,secondary,,,False,345.0,255,43,5,0.71,Desktop,Chrome,Linux,1920x1080,instagram,instagram,social,healthcare_mar,search,5,True,4.0,Evaluation
INT-014378,LEAD-00945,S-B1DC229F682F,V-2F308B65D6,2026-03-28 17:26:21,Integrations,product,/integrations,3,track,page_view,0.07,,,,,,False,988.0,34,71,11,0.88,Mobile,Firefox,iOS 17,360x780,direct,facebook,social,retargeting,email,1,False,,Awareness
INT-020315,LEAD-00560,S-720611D4AE7B,V-47B77EB62D,2026-05-05 02:34:00,Integrations,product,/integrations,3,track,page_view,0.08,Learn More,inline,,,,False,795.0,120,13,10,0.5,Desktop,Chrome,Linux,2560x1440,linkedin,,,brand_awareness,email,5,True,4.0,Consideration
INT-066545,LEAD-01800,S-3240BB28E7F8,V-81A8EFD16F,2026-02-19 03:35:21,Features,product,/features,3,track,page_view,0.02,,hero,secondary,,,False,1126.0,189,89,11,0.58,Desktop,Edge,Linux,1440x900,email_campaign,newsletter,email,bfsi_jan,search,9,True,2.0,Evaluation
INT-070172,LEAD-01344,S-A7F7734E8B90,V-7A6F8C768F,2026-04-26 11:53:33,Free Trial,conversion,/free-trial,6,track,page_view,0.03,Try Free,navbar,,free_trial_form,2.0,False,404.0,53,24,12,0.46,Mobile,Edge,iOS 16,414x896,direct,instagram,social,startup_apr,email,9,True,5.0,Decision
INT-061133,LEAD-01911,S-6A52A32506BC,V-45D3E52BE5,2026-05-22 05:21:29,Blog,blog,/blog,2,track,resource_view,0.12,Register Now,hero,banner,,,False,14.0,4,69,0,0.13,Desktop,,Linux,2560x1440,organic,google,organic,startup_apr,search,4,True,10.0,Awareness
INT-038513,LEAD-00528,S-2E43C6AAF801,V-5C709A625D,2026-04-26 10:01:44,ROI Calculator,tools,/roi-calculator,5,track,page_view,0.03,Read Case Study,footer,,,,False,481.0,240,74,6,0.65,Mobile,Edge,Android 14,375x667,direct,linkedin,social,enterprise_q1,direct,7,True,6.0,Decision
INT-026517,LEAD-01031,S-C336CF28E8CD,V-9D446759DC,2026-01-20 05:47:02,Home,home,/,1,track,page_view,0.04,Download PDF,navbar,banner,,,False,654.0,259,62,4,0.84,Mobile,Chrome,iOS 16,360x780,facebook,facebook,social,bfsi_jan,,1,False,,Awareness
INT-009999,LEAD-01132,S-53A2763DE8F7,V-F0DE03C517,2026-03-21 09:26:05,Contact,conversion,/contact,5,track,page_view,0.01,Contact Sales,navbar,primary,contact_form,2.0,False,1142.0,45,49,10,0.4,Mobile,Chrome,Android 14,390x844,facebook,facebook,social,bfsi_jan,search,7,True,13.0,Decision
INT-031000,LEAD-00446,S-EAFD47BF8429,V-8DC4E6597A,2026-05-16 13:42:02,Webinar,events,/webinar,3,track,page_view,0.09,Register Now,,inline,webinar_register_form,2.0,False,1656.0,155,31,1,0.97,Mobile,Chrome,iOS 17,390x844,google,google,,startup_founders,referral,10,True,12.0,Evaluation
INT-057207,LEAD-01361,S-F86FBC287FE7,V-E4ED08E73D,2026-02-15 04:25:28,Blog,blog,/blog,2,track,blog_read,0.08,Download PDF,,secondary,,,False,55.0,27,20,0,0.48,Desktop,Chrome,Windows 10,2560x1440,instagram,instagram,social,brand_awareness,referral,1,False,,Awareness
INT-042153,LEAD-01634,S-816BBF0B0BD1,V-19EBB92C86,2026-03-23 05:11:00,ROI Calculator,tools,/roi-calculator,5,track,page_view,0.02,Get Started,,secondary,,,False,390.0,288,52,10,0.93,Desktop,Safari,Windows 10,1366x768,referral,partner,referral,retargeting,referral,1,False,,Awareness
INT-010407,LEAD-00928,S-80E7A34E4516,V-BC727193A4,2026-03-15 11:39:42,Testimonials,social_proof,/testimonials,4,track,page_view,0.06,Book a Call,footer,banner,,,False,,34,35,11,0.7,Mobile,Chrome,iOS 16,375x667,facebook,facebook,social,product_launch,search,4,True,9.0,Consideration
INT-053838,LEAD-01301,S-06F8600EE129,V-F6BF245E14,2026-04-05 10:26:23,Blog,blog,/blog,2,track,blog_read,0.12,Learn More,sidebar,inline,,,False,132.0,60,41,0,0.61,Desktop,Chrome,Windows 11,1366x768,instagram,instagram,social,healthcare_mar,,1,False,,Awareness
INT-053302,LEAD-00151,S-89CF5A2DC182,V-296B28B370,2026-02-24 13:24:41,Pricing,pricing,/pricing,5,track,pricing_page_view,0.59,View Pricing,navbar,primary,,,False,491.0,92,48,11,0.65,Mobile,Firefox,iOS 16,375x667,google,google,cpc,product_launch,direct,1,False,,Awareness
INT-065588,LEAD-01757,S-E22FC6EA916C,V-4663F10E1E,2026-05-12 13:17:13,Partners,partnerships,/partners,3,track,page_view,0.06,View Pricing,hero,secondary,,,False,1529.0,105,45,4,0.46,Mobile,Safari,iOS 17,360x780,referral,partner,referral,brand_awareness,email,3,True,4.0,Consideration
INT-020625,LEAD-01431,S-39AE66A90A3E,V-28038B9845,2026-03-09 13:18:36,Changelog,product,/changelog,2,track,page_view,0.07,Book a Call,,banner,,,False,1238.0,28,47,2,0.99,Mobile,Safari,iOS 17,375x667,direct,,,retargeting,direct,2,True,11.0,Awareness
INT-011436,LEAD-01982,S-0F6BE53153FC,V-AEDAA5001E,2026-03-17 06:20:24,Testimonials,social_proof,/testimonials,4,track,page_view,0.02,Contact Sales,navbar,inline,,,False,1048.0,159,53,11,0.42,Tablet,Chrome,Windows 11,1024x768,organic,google,organic,enterprise_q1,social,1,False,,Awareness
INT-035704,LEAD-01108,S-DD235E58BB90,V-225980139E,2026-03-28 11:01:09,Resources,resources,/resources,2,track,document_download,0.37,Download PDF,footer,secondary,,,False,110.0,205,34,9,0.67,Desktop,Opera,Windows 11,1440x900,facebook,,social,enterprise_q1,search,10,True,2.0,Awareness
INT-051037,LEAD-00823,S-4D2C73D104CD,V-73943997FF,2026-02-23 01:53:18,Integrations,product,/integrations,3,track,page_view,0.05,Request Demo,inline,inline,,,False,835.0,99,49,1,0.38,Mobile,Chrome,iOS 16,375x667,linkedin,linkedin,social,startup_founders,search,8,True,0.0,Evaluation
INT-027224,LEAD-01493,S-1A4657BCA2DD,V-0D4AF08A89,2026-06-04 00:00:00,Docs,product,/docs,3,track,page_view,0.02,Request Demo,,inline,,,False,1480.0,80,61,5,0.83,Desktop,Edge,Windows 10,1920x1080,direct,,,,,4,True,8.0,Consideration
INT-004233,LEAD-01914,S-3287C85DC882,V-FBC55B4CFF,2026-05-21 19:20:14,Resources,resources,/resources,2,track,resource_view,0.08,Download PDF,hero,primary,,,False,1363.0,112,52,1,0.35,Mobile,Edge,Android 14,375x667,organic,google,organic,,referral,8,True,36.0,Evaluation
INT-005552,LEAD-01424,S-23FC6217809E,V-07FE30F71B,2026-04-20 12:53:43,Free Trial,conversion,/free-trial,6,track,page_view,0.04,Try Free,sidebar,primary,free_trial_form,2.0,False,355.0,36,62,5,0.75,Mobile,Chrome,Android 13,390x844,direct,,,enterprise_q1,referral,9,True,3.0,Evaluation
INT-034731,LEAD-00262,S-4C029388FCDC,V-CAAFA741D0,2026-03-07 16:01:11,Features,product,/features,3,track,page_view,0.03,Book a Call,hero,,,,False,1620.0,97,94,12,0.74,Desktop,Chrome,Windows 10,1366x768,direct,google,cpc,product_launch,referral,3,True,5.0,Consideration
INT-061569,LEAD-01833,S-D2D8A5D637E3,V-65AB14EB15,2026-03-07 15:04:59,Pricing,pricing,/pricing,5,track,pricing_page_view,0.89,View Pricing,inline,,,,False,444.0,78,66,6,0.58,Mobile,Firefox,Android 14,375x667,direct,newsletter,email,product_launch,search,7,True,7.0,Evaluation
INT-032006,LEAD-00702,S-DA21F95B7026,V-73895AB9BA,2026-04-25 00:35:21,Resources,resources,/resources,2,track,resource_view,0.12,Download PDF,inline,,,,False,1453.0,78,26,11,0.79,Desktop,Chrome,macOS Ventura,1440x900,linkedin,linkedin,social,startup_apr,social,9,True,11.0,Evaluation
INT-056611,LEAD-01426,S-805761E16491,V-C2E172A6BB,2026-03-31 06:30:02,ROI Calculator,tools,/roi-calculator,5,track,pricing_page_view,0.66,Contact Sales,footer,,,,False,1530.0,118,77,1,0.47,Tablet,Safari,Windows 11,1280x800,direct,,,healthcare_mar,referral,6,True,14.0,Evaluation
INT-055988,LEAD-00078,S-CC1EAF0F1C1B,V-AC621467E1,2026-05-11 15:31:53,Resources,resources,/resources,2,track,resource_view,0.17,Download PDF,navbar,inline,,,False,719.0,291,77,6,0.32,Mobile,,iOS 16,414x896,direct,google,cpc,retargeting,direct,3,True,16.0,Awareness
INT-006400,LEAD-00273,S-A6154CAD0498,V-C35CAC8D5B,2026-02-04 13:48:04,Blog,blog,/blog,2,track,blog_read,0.2,Watch Demo,footer,primary,,,False,830.0,174,89,1,0.71,Mobile,Firefox,iOS 16,414x896,google,google,cpc,bfsi_jan,search,4,True,1.0,Consideration
INT-037786,LEAD-01086,S-DFD82E3AD488,V-7FA29B09A1,2026-02-05 13:10:47,Partners,partnerships,/partners,3,track,page_view,0.07,,sidebar,inline,,,False,400.0,44,40,9,0.84,Mobile,Chrome,iOS 16,390x844,facebook,facebook,social,,search,1,False,,Awareness
INT-031643,LEAD-01449,S-9DFBC22AD0B6,V-D2E7DF5A74,2026-03-28 12:19:08,Changelog,product,/changelog,2,track,page_view,0.03,Book a Call,footer,banner,,,False,715.0,176,10,11,0.53,Mobile,Firefox,iOS 17,375x667,direct,,,healthcare_mar,referral,6,True,1.0,Consideration
INT-007252,LEAD-01771,S-B52CF0AC8739,V-2CD499294D,2026-03-04 00:43:52,Pricing,pricing,/pricing,5,track,page_view,0.05,View Pricing,footer,primary,,,False,861.0,223,28,7,0.87,Desktop,Edge,macOS Sonoma,1440x900,direct,newsletter,email,healthcare_mar,,3,True,2.0,Awareness
INT-058201,LEAD-01595,S-317A917BBBC2,V-A9813EE762,2026-03-30 16:01:38,Case Studies,social_proof,/case-studies,4,track,case_study_view,0.38,View Pricing,navbar,banner,,,False,1179.0,23,49,7,0.59,Mobile,Chrome,Android 14,390x844,direct,,,retargeting,social,10,True,1.0,Evaluation
INT-063482,LEAD-00084,S-C726BA153019,V-DBA2082793,2026-02-07 20:29:23,Resources,resources,/resources,2,track,resource_view,0.17,Download PDF,,,,,False,1350.0,258,88,11,0.49,Mobile,Edge,Android 14,360x780,google,,cpc,bfsi_jan,email,2,True,1.0,Awareness
INT-030171,LEAD-01443,S-DFC88721B366,V-A3B15F6FC1,2026-03-17 04:27:07,Demo,conversion,/demo,6,track,page_view,0.05,Request Demo,sidebar,,demo_request_form,3.0,False,1269.0,197,52,7,0.61,Mobile,Chrome,Android 14,414x896,direct,,,retargeting,search,6,True,7.0,Consideration
INT-028837,LEAD-00609,S-DE3BBA8D0B07,V-23EE449E26,2026-04-28 04:11:56,Careers,company,/careers,1,track,page_view,0.04,Learn More,footer,banner,,,False,495.0,185,13,11,0.98,Mobile,Chrome,iOS 16,360x780,linkedin,linkedin,,startup_apr,direct,5,True,2.0,Consideration
INT-059146,LEAD-01865,S-3985508C7668,V-C6F09EDBC5,2026-05-19 11:12:40,Docs,product,/docs,3,track,scroll,0.02,Register Now,footer,banner,,,False,2.0,8,55,2,0.21,Mobile,Chrome,iOS 17,390x844,email_campaign,newsletter,email,retargeting,referral,1,False,,Awareness
INT-006794,LEAD-00504,S-AAA7DC07B4C9,V-22F755C65B,2026-03-06 09:38:41,Partners,partnerships,/partners,3,track,page_view,0.05,,sidebar,primary,,,False,552.0,135,10,11,0.83,Mobile,Chrome,iOS 17,360x780,linkedin,linkedin,,product_launch,social,1,False,,Awareness
INT-055689,LEAD-01992,S-AE9E6574E733,V-F1E3D84B92,2026-03-10 07:55:12,Pricing,pricing,/pricing,5,track,pricing_page_view,0.66,View Pricing,hero,banner,,,False,1380.0,87,51,10,0.38,Desktop,Safari,Linux,2560x1440,organic,google,,product_launch,email,2,True,32.0,Awareness
INT-046482,LEAD-01472,S-63371AB7D08F,V-DA7BA24BF6,2026-03-10 00:45:26,Resources,resources,/resources,2,track,document_download,0.44,Download PDF,hero,secondary,,,False,421.0,206,20,2,0.73,Mobile,,iOS 17,360x780,direct,,,retargeting,direct,2,True,10.0,Consideration
INT-058562,LEAD-00426,S-4809D0C51048,V-EBBE9056D7,2026-03-16 19:02:16,Blog,blog,/blog,2,track,blog_read,0.13,Watch Demo,inline,inline,,,False,491.0,136,66,10,0.52,Mobile,Chrome,Android 14,390x844,direct,google,cpc,retargeting,email,5,True,1.0,Consideration
INT-057101,LEAD-00773,S-C7251984CB90,V-A58AD74716,2026-05-10 08:17:11,Case Studies,social_proof,/case-studies,4,track,case_study_view,0.36,Contact Sales,navbar,secondary,,,False,1715.0,275,79,6,0.67,Mobile,Chrome,iOS 17,360x780,linkedin,linkedin,social,,social,6,True,1.0,Consideration
INT-039233,LEAD-00641,S-C47E47649FC8,V-00CEF1FF7B,2026-05-16 02:07:40,Pricing,pricing,/pricing,5,track,pricing_page_view,0.7,View Pricing,inline,secondary,,,False,598.0,41,93,8,0.49,Mobile,Opera,Android 13,375x667,linkedin,linkedin,social,brand_awareness,direct,2,True,5.0,Consideration
INT-012587,LEAD-01859,S-3C6E48276055,V-945D7ED450,2026-04-25 06:16:10,Home,home,/,1,track,page_view,0.04,,inline,banner,,,False,329.0,244,83,2,0.92,Mobile,Opera,Android 14,375x667,direct,newsletter,email,startup_apr,social,5,True,12.0,Evaluation
INT-042036,LEAD-00958,S-0BA2696355A9,V-EDE8ABDB18,2026-03-07 03:35:37,Blog,blog,/blog,2,track,blog_read,0.13,Watch Demo,footer,,,,False,512.0,19,86,2,0.73,Mobile,Chrome,Android 14,375x667,facebook,facebook,social,healthcare_mar,direct,1,False,,Awareness
INT-055587,LEAD-00008,S-0D6BD5026DC0,V-16A2FB8AD9,2026-04-18 00:10:11,Pricing,pricing,/pricing,5,track,pricing_page_view,0.51,View Pricing,hero,secondary,,,False,1535.0,98,17,8,0.39,Mobile,Chrome,Android 14,414x896,google,google,cpc,bfsi_jan,email,4,True,2.0,Consideration
INT-005736,LEAD-01638,S-7575CF427030,V-4B22691A7A,2026-05-30 21:40:51,Integrations,product,/integrations,3,track,page_view,0.06,,footer,primary,,,False,345.0,262,97,9,0.71,Desktop,Chrome,Windows 10,1440x900,referral,partner,referral,startup_apr,direct,12,True,1.0,Consideration
INT-045660,LEAD-00532,S-F4F118BA7C8E,V-005C83938C,2026-04-07 07:08:05,Pricing,pricing,/pricing,5,track,resource_view,0.09,,hero,primary,,,False,15.0,6,68,1,0.27,Mobile,Chrome,Android 13,375x667,linkedin,linkedin,social,startup_founders,social,4,True,7.0,Awareness
INT-022625,LEAD-00558,S-FB3B546125F7,V-FDDBED1E66,2026-04-22 10:39:45,Features,product,/features,3,track,page_view,0.07,Book a Call,sidebar,,,,False,978.0,78,95,3,0.62,Mobile,Firefox,Android 13,360x780,linkedin,linkedin,social,product_launch,referral,11,True,2.0,Decision
INT-021413,LEAD-01721,S-973BF2EFAB82,V-36ECCCE598,2026-03-25 18:31:20,,conversion,/contact,5,track,contact_form_submit,0.74,,footer,inline,contact_form,3.0,True,1279.0,291,53,1,0.38,Tablet,Chrome,Android 14,1280x800,referral,partner,referral,,email,9,True,1.0,Decision
INT-005366,LEAD-00844,S-2F3958C4CF4D,V-DC968245A9,2026-03-11 00:51:07,Resources,resources,/resources,2,track,document_download,0.32,Download PDF,navbar,inline,,,False,554.0,104,51,5,0.92,Desktop,Edge,Windows 11,1920x1080,linkedin,linkedin,social,startup_founders,search,13,True,1.0,Evaluation
INT-056429,LEAD-00406,S-DA219AE29052,V-E905FD867E,2026-02-26 19:06:20,Demo,conversion,/demo,6,track,page_view,0.08,Request Demo,hero,banner,demo_request_form,3.0,False,1584.0,106,26,7,0.39,Desktop,Chrome,Windows 10,1366x768,direct,google,cpc,startup_founders,email,3,True,5.0,Awareness
INT-039077,LEAD-01512,S-4ADB7EFFC015,V-C4E4760319,2026-05-15 04:38:32,Blog,blog,/blog,2,track,blog_read,0.18,,footer,primary,,,False,1321.0,260,28,10,0.66,Mobile,Chrome,Android 14,375x667,direct,,,startup_apr,search,1,False,,Awareness
INT-038838,LEAD-00906,S-6F383B61CBDE,V-3D9DD48A65,2026-02-07 02:58:43,About,about,/about,2,track,page_view,0.1,Contact Sales,sidebar,,,,False,1661.0,129,11,3,0.69,Mobile,Chrome,Android 13,414x896,direct,facebook,social,,email,2,True,1.0,Awareness
INT-000644,LEAD-01823,S-8258FFD9FE58,V-B8D4CB587F,2026-04-16 12:48:39,Free Trial,conversion,/free-trial,6,track,page_view,0.09,Try Free,,inline,free_trial_form,2.0,False,609.0,267,11,4,0.74,Mobile,Chrome,iOS 16,360x780,email_campaign,newsletter,,,referral,3,True,1.0,Evaluation
INT-008935,LEAD-01618,S-3E111DDBA423,V-C494B172E7,2026-05-27 10:27:41,Integrations,product,/integrations,3,track,page_view,0.07,,,secondary,,,False,976.0,165,77,1,0.93,Mobile,Chrome,iOS 16,360x780,referral,partner,referral,bfsi_jan,,2,True,1.0,Awareness
INT-070625,LEAD-01099,S-824D67C6A538,V-3DC9235C01,2026-03-16 04:20:56,Webinar,events,/webinar,3,track,page_view,0.09,Register Now,inline,banner,webinar_register_form,1.0,False,1178.0,16,89,1,0.67,Mobile,Safari,iOS 16,414x896,facebook,facebook,,startup_founders,referral,4,True,1.0,Consideration
INT-036266,LEAD-01421,S-D5FA432DAA28,V-B8FE38F6DE,2026-01-04 04:52:46,Demo,conversion,/demo,6,track,page_view,0.03,Request Demo,navbar,primary,demo_request_form,3.0,False,488.0,171,22,5,0.77,Mobile,Chrome,iOS 17,360x780,direct,,,healthcare_mar,search,1,False,,Awareness
INT-052664,LEAD-00632,S-FE1FDD8D3B2C,V-156689B466,2026-02-01 14:20:53,Home,home,/,1,track,page_view,0.08,Learn More,inline,primary,,,False,890.0,95,81,2,0.47,Mobile,Safari,iOS 16,414x896,linkedin,linkedin,,enterprise_q1,email,5,True,1.0,Evaluation
INT-050558,LEAD-01411,S-A02D418F04A3,V-DDB061D855,2026-04-19 17:58:08,Blog,blog,/blog,2,track,scroll,0.05,View Pricing,footer,inline,,,False,2.0,2,27,0,0.33,Mobile,Chrome,Android 13,360x780,direct,,,startup_founders,email,3,True,14.0,Awareness
INT-021047,LEAD-01488,S-6E08613FA058,V-ABC054D357,2026-05-24 13:30:59,Resources,resources,/resources,2,track,resource_view,0.13,Download PDF,navbar,inline,,,False,161.0,59,21,2,0.67,Mobile,Brave,Android 14,360x780,direct,,,retargeting,,4,True,14.0,Consideration
INT-064489,LEAD-01458,S-9FB2B0D36ADB,V-B278D76FE7,2026-05-26 20:11:25,Demo,conversion,/demo,6,track,page_view,0.02,Request Demo,hero,secondary,demo_request_form,3.0,False,933.0,152,73,5,0.72,Mobile,Chrome,Android 13,390x844,direct,,,product_launch,referral,5,True,8.0,Evaluation
INT-069727,LEAD-01591,S-F7D6BF07746A,V-496E406E7C,2026-05-06 16:19:54,Case Studies,social_proof,/case-studies,4,track,case_study_view,0.32,Contact Sales,navbar,primary,,,False,409.0,46,55,6,0.65,Mobile,Edge,Android 13,414x896,direct,,,,direct,7,True,2.0,Consideration
INT-028910,LEAD-00609,S-2074329176D9,V-23EE449E26,2026-05-04 14:54:40,Demo,conversion,/demo,6,track,page_view,0.09,Request Demo,inline,banner,demo_request_form,1.0,False,65.0,296,47,9,0.78,Mobile,Chrome,Android 13,360x780,linkedin,linkedin,social,startup_apr,referral,10,True,1.0,Decision
